Name,Code,Symbol,Flag Link,Currency
Albania,ALL,Lek,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/albania.png,Lek
Afghanistan,AFN,؋,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/afghanistan.png,Afghani
Argentina,ARS,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/argentina.png,Peso
Aruba,AWG,ƒ,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/aruba.png,Guilder
Australia,AUD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/australia.png,Dollar
Azerbaijan,AZN,₼,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/azerbaijan.png,Manat
Bahamas,BSD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bahamas.png,Dollar
Barbados,BBD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/barbados.png,Dollar
Belarus,BYR,p.,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/belarus.png,Ruble
Belize,BZD,BZ$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/belize.png,Dollar
Bermuda,BMD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bermuda.png,Dollar
Bolivia,BOB,$b,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bolivia.png,Boliviano
Bosnia and Herzegovina,BAM,KM,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/Bosnia_and_Herzegovina.png,Convertible Marka
Botswana,BWP,P,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/botswana.png,Pula
Bulgaria,BGN,лв,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bulgaria.png,Lev
Brazil,BRL,R$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/brazil.png,Real
Brunei,BND,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/brunei.png,Darussalam Dollar
Cambodia,KHR,៛,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/cambodia.png,Riel
Canada,CAD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/canada.png,Dollar
Cayman,KYD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/Cayman_Islands.png,Dollar
Chile,CLP,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/chile.png,Peso
China,CNY,¥,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/china.png,Yuan Renminbi
Colombia,COP,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/colombia.png,Peso
Costa Rica,CRC,₡,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/costarica.png,Colon
Croatia,HRK,kn,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/croatia.png,Kuna
Cuba,CUP,₱,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/cuba.png,Peso
Czech Republic,CZK,Kč,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/czechrepublic.png,Koruna
Denmark,DKK,kr,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/denmark.png,Krone
Dominican Republic,DOP,RD$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/dominicanrepublic.png,Peso
Egypt,EGP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/egypt.png,Pound
El Salvador,SVC,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/elsalvador.png,Colon
Estonia,EEK,kr,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/estonia.png,Kroon
Euro Member,EUR,€,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/euro.png,Euro
Falkland Islands,FKP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/falklandislands.png,Pound
Fiji,FJD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/fiji.png,Dollar
Georgia,GEL,₾,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/georgia.png,Lari
Ghana,GHC,¢,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/ghana.png,Cedis
Gibraltar,GIP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/gibraltar.png,Pound
Guatemala,GTQ,Q,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guatemala.png,Quetzal
Guernsey,GGP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guernsey.png,Pound
Guyana,GYD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guyana.png,Dollar
Honduras,HNL,L,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/honduras.png,Lempira
Hong Kong,HKD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/hongkong.png,Dollar
Hungary,HUF,Ft,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/hungary.png,Forint
Iceland,ISK,kr,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/iceland.png,Krona
India,INR,₹,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/india.png,Rupee
Indonesia,IDR,Rp,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/indonesia.png,Rupiah
Iran,IRR,﷼,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/iran.png,Rial
Isle of Man,IMP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/isleofman.png,Pound
Israel,ILS,₪,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/israel.png,Shekel
Jamaica,JMD,J$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/jamaica.png,Dollar
Japan,JPY,¥,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/japan.png,Yen
Jersey,JEP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/jersey.png,Pound
Kazakhstan,KZT,лв,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/kazakhstan.png,Tenge
Korea (North),KPW,₩,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/northkorea.png,Won
Korea (South),KRW,₩,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/southkorea.png,Won
Kyrgyzstan,KGS,лв,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/kyrgyzstan.png,Som
Laos,LAK,₭,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/laos.png,Kip
Latvia,LVL,Ls,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/latvia.png,Lat
Lebanon,LBP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/lebanon.png,Pound
Liberia,LRD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/liberia.png,Dollar
Lithuania,LTL,Lt,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/lithuania.png,Litas
Macedonia,MKD,ден,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/macedonia.png,Denar
Malaysia,MYR,RM,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/malaysia.png,Ringgit
Mauritius,MUR,₨,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/mauritius.png,Rupee
Mexico,MXN,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/mexico.png,Peso
Mongolia,MNT,₮,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/mongolia.png,Tughrik
Mozambique,MZN,MT,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/mozambique.png,Metical
Namibia,NAD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/namibia.png,Dollar
Nepal,NPR,₨,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/nepal.png,Rupee
Netherlands,ANG,ƒ,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/netherlands.png,Antilles Guilder
New Zealand,NZD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/newzealand.png,Dollar
Nicaragua,NIO,C$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/nicaragua.png,Cordoba
Nigeria,NGN,₦,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/nigeria.png,Naira
Norway,NOK,kr,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/norway.png,Krone
Oman,OMR,﷼,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/oman.png,Rial
Pakistan,PKR,₨,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/pakistan.png,Rupee
Panama,PAB,B/.,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/panama.png,Balboa
Paraguay,PYG,Gs,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/paraguay.png,Guarani
Peru,PEN,S/.,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/peru.png,Nuevo Sol
Philippines,PHP,₱,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/philippines.png,Peso
Poland,PLN,zł,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/poland.png,Zloty
Qatar,QAR,﷼,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/qatar.png,Riyal
Romania,RON,lei,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/romania.png,New Leu
Russia,RUB,₽,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/russia.png,Ruble
Saint Helena,SHP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/sainthelena.png,Pound
Saudi Arabia,SAR,﷼,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/saudiarabia.png,Riyal
Serbia,RSD,Дин.,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/serbia.png,Dinar
Seychelles,SCR,₨,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/seychelles.png,Rupee
Singapore,SGD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/singapore.png,Dollar
Solomon Islands,SBD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/solomonislands.png,Dollar
Somalia,SOS,S,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/somalia.png,Shilling
South Africa,ZAR,R,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/southafrica.png,Rand
Sri Lanka,LKR,₨,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/srilanka.png,Rupee
Sweden,SEK,kr,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/sweden.png,Krona
Switzerland,CHF,CHF,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/switzerland.png,Franc
Suriname,SRD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/suriname.png,Dollar
Syria,SYP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/syria.png,Pound
Taiwan,TWD,NT$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/taiwan.png,New Dollar
Thailand,THB,฿,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/thailand.png,Baht
Trinidad and Tobago,TTD,TT$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/trinidadandtobago.png,Dollar
Turkey,TRL,₺,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/turkey.png,Lira
Tuvalu,TVD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/tuvalu.png,Dollar
Ukraine,UAH,₴,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/ukraine.png,Hryvna
United Kingdom,GBP,£,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/unitedkingdom.png,Pound
United States,USD,$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/unitedstates.png,Dollar
Uruguay,UYU,$U,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/uruguay.png,Peso
Uzbekistan,UZS,лв,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/uzbekistan.png,Som
Venezuela,VEF,Bs,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/venezuela.png,Bolivar Fuerte
Viet Nam,VND,₫,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/vietnam.png,Dong
Yemen,YER,﷼,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/yemen.png,Rial
Zimbabwe,ZWD,Z$,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/zimbabwe.png,Dollar
